TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,TransactionDay,TimeSinceLastTransaction,TransactionType_Credit,TransactionType_Debit,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,CustomerAgeGroup,TransactionAmountGroup,CustomerAgeGroup_enc,TransactionAmountGroup_enc,Target
14.089999999999975,70.0,81.0,1.0,5112.21,16.0,11.0,-13743.648333333333,0,1,1,0,0,1,0,0,0,Senior,Medium,2,2,1
376.24,68.0,141.0,1.0,13758.91,16.0,27.0,-11895.42111111111,0,1,1,0,0,1,0,0,0,Senior,High,2,0,4
126.29000000000002,19.0,56.0,1.0,1122.3499999999995,18.0,10.0,-11581.84888888889,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
184.5,26.0,25.0,1.0,8569.06,16.0,5.0,-13167.615277777777,0,1,0,0,1,0,0,0,1,Adult,High,0,0,3
13.449999999999989,44.644915932746194,198.0,1.0,7429.4,17.0,16.0,-9230.254166666668,1,0,0,0,1,0,0,0,1,Adult,Medium,0,2,3
92.15,18.000000000000004,172.0,1.0,781.6800000000003,17.0,3.0,-13934.859722222222,0,1,1,0,0,0,0,0,1,Youth,Medium,3,2,2
7.079999999999984,37.0,139.0,1.0,13316.71,16.0,15.0,-15063.555833333334,1,0,1,0,0,1,0,0,0,Adult,Medium,0,2,4
171.41999999999996,67.0,291.0,1.0,2796.24,17.0,8.0,-13094.382222222222,1,0,0,1,0,0,0,1,0,Senior,High,2,0,1
106.23000000000005,51.0,86.0,1.0,9095.14,16.0,21.0,-14247.191111111111,1,0,0,1,0,0,1,0,0,Middle-aged,High,1,0,4
815.96,55.0,120.0,1.0,1021.8800000000001,16.0,31.0,-14007.993055555555,0,1,1,0,0,1,0,0,0,Middle-aged,High,1,0,1
17.78000000000003,52.0,59.0,1.0,7599.52,16.0,14.0,-14415.343055555555,1,0,0,0,1,0,1,0,0,Middle-aged,Medium,1,2,4
190.02000000000004,21.0,173.0,1.0,1528.81,17.0,6.0,-15278.62,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
494.52,24.0,111.0,1.0,1620.02,17.0,7.000000000000002,-12374.78611111111,1,0,0,1,0,0,0,0,1,Youth,High,3,0,2
781.76,26.0,123.0,1.0,189.6899999999996,16.0,20.0,-8391.464166666667,0,1,1,0,0,0,0,0,1,Adult,High,0,0,3
166.99,18.000000000000004,134.0,1.0,299.9300000000003,16.0,13.0,-15111.27,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
465.45,36.0,129.0,1.0,3465.54,16.0,12.0,-7863.8133333333335,0,1,1,0,0,0,1,0,0,Adult,High,0,0,3
555.8,19.0,158.0,1.0,1131.2600000000002,16.0,30.0,-8895.246111111112,1,0,0,1,0,0,0,0,1,Youth,High,3,0,2
492.93,39.0,234.0,1.0,5109.97,18.0,14.0,-7813.660277777778,0,1,0,0,1,0,1,0,0,Adult,High,0,0,3
18.680000000000007,59.0,106.0,1.0,7948.37,16.0,21.0,-14919.253055555555,1,0,0,1,0,0,0,1,0,Middle-aged,Medium,1,2,1
71.48000000000002,18.000000000000004,169.0,1.0,6568.59,18.0,8.0,-12349.841666666667,1,0,0,0,1,0,0,0,1,Youth,Medium,3,2,2
59.31999999999999,71.0,38.0,1.0,5750.89,16.0,28.0,-14751.540555555555,0,1,0,1,0,0,0,1,0,Senior,Medium,2,2,1
85.76999999999998,38.0,93.0,1.0,9146.19,18.0,11.0,-10813.611666666666,0,1,0,1,0,1,0,0,0,Adult,Medium,0,2,4
52.20000000000002,39.0,120.0,1.0,8974.93,18.0,6.0,-12397.212777777779,0,1,0,0,1,0,1,0,0,Adult,Medium,0,2,3
345.84,22.0,142.0,1.0,1402.5,18.0,2.0,-13237.688333333334,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
145.54,21.0,96.0,1.0,1930.96,16.0,2.0,-14703.386944444444,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
7.490000000000009,65.0,276.0,1.0,3634.67,17.0,20.0,-9134.275277777779,1,0,0,0,1,0,0,1,0,Middle-aged,Medium,1,2,1
246.93,23.0,158.0,1.0,673.3500000000004,16.0,17.0,-13599.576944444445,0,1,1,0,0,0,0,0,1,Youth,High,3,0,2
40.31999999999999,37.0,95.0,1.0,2686.52,16.0,29.0,-14055.489166666666,0,1,0,1,0,0,1,0,0,Adult,Medium,0,2,3
127.44999999999999,44.0,197.0,1.0,1772.06,16.0,24.0,-15591.880555555555,0,1,0,0,1,1,0,0,0,Adult,High,0,0,3
56.170000000000016,27.0,283.0,1.0,1351.69,16.0,20.0,-9855.213333333333,0,1,0,1,0,0,0,0,1,Adult,Medium,0,2,3
28.310000000000002,59.0,20.0,1.0,8334.47,17.0,17.0,-11414.331944444444,1,0,0,0,1,1,0,0,0,Middle-aged,Medium,1,2,4
59.120000000000005,29.0,257.0,1.0,9823.64,16.0,6.0,-15279.709444444445,0,1,1,0,0,1,0,0,0,Adult,Medium,0,2,4
396.45,49.0,168.0,1.0,9690.15,16.0,25.0,-9735.753611111111,0,1,1,0,0,0,1,0,0,Middle-aged,High,1,0,4
877.81,22.0,150.0,1.0,399.0,17.0,13.0,-14438.740555555556,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
255.26,45.0,50.0,1.0,14815.870000000003,16.0,27.0,-8967.467222222222,1,0,0,1,0,1,0,0,0,Adult,High,0,0,4
124.75999999999999,49.0,45.0,1.0,5764.72,16.0,16.0,-9231.5575,0,1,0,1,0,0,1,0,0,Middle-aged,High,1,0,3
78.13,26.0,145.0,1.0,900.6099999999997,16.0,21.0,-8367.226111111111,0,1,0,1,0,0,0,0,1,Adult,Medium,0,2,3
649.28,75.0,137.0,1.0,4875.86,17.0,2.0,-14702.295277777777,0,1,1,0,0,0,0,1,0,Senior,High,2,0,1
795.31,66.0,90.0,1.0,7914.88,17.0,12.0,-9327.060277777779,0,1,1,0,0,1,0,0,0,Senior,High,2,0,1
335.63,55.0,216.0,1.0,1019.3900000000003,17.0,24.0,-15590.836666666666,0,1,0,0,1,0,0,1,0,Middle-aged,High,1,0,1
328.47,63.0,119.0,1.0,4323.66,18.0,31.0,-11077.461388888889,0,1,1,0,0,0,0,1,0,Middle-aged,High,1,0,1
34.01999999999998,38.0,19.0,1.0,14214.48,16.0,9.0,-15951.973333333333,0,1,0,0,1,1,0,0,0,Adult,Medium,0,2,4
241.42,57.0,116.0,1.0,13357.02,18.0,20.0,-13525.18888888889,1,0,0,0,1,1,0,0,0,Middle-aged,High,1,0,4
55.31999999999999,19.0,117.0,1.0,241.78999999999996,16.0,12.0,-13720.073888888888,0,1,1,0,0,0,0,0,1,Youth,Medium,3,2,2
304.31,27.0,33.0,1.0,868.6099999999997,16.0,26.0,-11199.290277777778,0,1,0,1,0,0,0,0,1,Adult,High,0,0,3
435.27,74.0,90.0,1.0,4673.28,17.0,4.0,-9518.361944444445,0,1,0,1,0,0,0,1,0,Senior,High,2,0,1
164.49,26.0,75.0,1.0,1509.27,16.0,13.0,-7840.148611111111,0,1,0,1,0,0,0,0,1,Adult,High,0,0,3
510.24,19.0,105.0,1.0,781.6999999999998,16.0,9.0,-9399.698611111111,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
626.9,26.0,138.0,1.0,265.5100000000002,16.0,27.0,-8223.3575,0,1,0,0,1,0,0,0,1,Adult,High,0,0,3
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,16.0,27.0,-14103.353611111112,1,0,0,0,1,0,1,0,0,Adult,Medium,0,2,3
425.34,69.0,121.0,1.0,3907.54,16.0,13.0,-15111.124444444444,1,0,0,0,1,0,0,1,0,Senior,High,2,0,1
424.56,51.0,264.0,1.0,5183.85,17.0,21.0,-14918.389444444445,0,1,0,0,1,0,1,0,0,Middle-aged,High,1,0,3
85.43,67.0,145.0,1.0,14904.900000000001,16.0,7.000000000000002,-12375.353055555555,0,1,0,1,0,1,0,0,0,Senior,Medium,2,2,4
169.5,28.0,142.0,1.0,918.8800000000001,16.0,7.000000000000002,-10167.291944444445,0,1,0,1,0,0,0,0,1,Adult,High,0,0,3
104.63,62.0,90.0,1.0,4477.78,17.0,29.0,-14054.390555555556,0,1,1,0,0,0,0,1,0,Middle-aged,High,1,0,1
316.95,25.0,83.0,1.0,1324.0299999999997,17.0,4.0,-10982.259722222223,0,1,0,1,0,0,0,0,1,Youth,High,3,0,2
60.53999999999999,57.0,52.0,1.0,3534.93,17.0,14.0,-7814.28888888889,1,0,0,1,0,0,0,1,0,Middle-aged,Medium,1,2,1
292.56,68.0,61.0,1.0,4638.37,17.0,3.0,-14678.502222222221,1,0,0,1,0,0,0,1,0,Senior,High,2,0,1
386.52,48.0,28.0,1.0,5630.61,16.0,9.0,-12327.815,0,1,0,1,0,0,1,0,0,Middle-aged,High,1,0,3
112.07000000000002,23.0,51.0,1.0,930.3000000000002,16.0,2.0,-9567.604166666666,0,1,0,1,0,0,0,0,1,Youth,High,3,0,2
568.52,46.0,152.0,1.0,5499.91,18.0,6.0,-9469.41111111111,0,1,1,0,0,0,1,0,0,Middle-aged,High,1,0,3
263.99,79.0,227.0,1.0,4175.02,16.0,16.0,-12904.059166666666,0,1,0,1,0,0,0,1,0,Senior,High,2,0,1
349.64,48.0,226.0,1.0,6651.62,16.0,7.000000000000002,-8703.329444444444,0,1,0,0,1,0,1,0,0,Middle-aged,High,1,0,3
601.4,56.0,104.0,1.0,8458.29,17.0,30.0,-12566.41,1,0,0,1,0,0,1,0,0,Middle-aged,High,1,0,4
5.769999999999982,50.0,124.0,1.0,13988.120000000003,16.0,2.0,-8824.164444444445,0,1,0,0,1,1,0,0,0,Middle-aged,Medium,1,2,4
201.33,42.0,186.0,1.0,2585.07,17.0,29.0,-14055.18611111111,1,0,0,1,0,0,1,0,0,Adult,High,0,0,3
298.42,56.0,225.0,1.0,3014.75,16.0,25.0,-13407.98,0,1,0,1,0,0,0,1,0,Middle-aged,High,1,0,1
521.06,25.0,128.0,1.0,1951.42,18.0,18.0,-13573.523055555555,0,1,0,1,0,0,0,0,1,Youth,High,3,0,2
117.28,60.0,16.0,1.0,3665.77,16.0,9.0,-15207.538333333334,1,0,0,0,1,0,1,0,0,Middle-aged,High,1,0,1
189.12,32.0,103.0,1.0,977.0100000000002,16.0,13.0,-8559.437222222223,1,0,0,1,0,0,1,0,0,Adult,High,0,0,3
133.55,44.0,220.0,1.0,3846.28,16.0,18.0,-11391.971666666666,0,1,1,0,0,0,1,0,0,Adult,High,0,0,3
143.21,35.0,135.0,1.0,6374.82,17.0,13.0,-15855.152777777777,0,1,0,0,1,0,1,0,0,Adult,High,0,0,3
24.769999999999982,62.0,55.0,1.0,5866.01,18.0,4.0,-11725.861666666666,0,1,1,0,0,0,0,1,0,Middle-aged,Medium,1,2,1
233.92,26.0,280.0,1.0,6537.62,16.0,20.0,-9135.238055555556,1,0,0,0,1,0,0,0,1,Adult,High,0,0,3
899.28125,20.0,24.0,1.0,605.9499999999998,16.0,4.0,-9519.506111111112,0,1,0,1,0,0,0,0,1,Youth,Low,3,1,2
232.12,37.0,51.0,1.0,6689.87,17.0,28.0,-7478.637222222223,0,1,1,0,0,0,1,0,0,Adult,High,0,0,3
297.7418995983936,22.0,113.0,1.0,634.1700000000001,17.0,12.0,-12254.241666666667,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
91.53,44.0,69.0,1.0,14676.05,16.0,13.0,-14439.656666666666,0,1,0,1,0,1,0,0,0,Adult,Medium,0,2,4
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,18.0,18.0,-7717.339722222222,0,1,0,1,0,0,0,0,1,Youth,High,3,0,2
174.25,50.0,67.0,1.0,10528.34,18.0,17.0,-11413.266111111112,0,1,0,0,1,1,0,0,0,Middle-aged,High,1,0,4
183.71,38.0,102.0,1.0,552.5199999999995,18.0,19.0,-12085.794722222223,0,1,1,0,0,0,1,0,0,Adult,High,0,0,3
345.39,58.0,80.0,1.0,6451.96,16.0,10.0,-14511.545277777777,1,0,0,1,0,0,1,0,0,Middle-aged,High,1,0,1
899.28125,63.0,87.0,1.0,4715.84,16.0,23.0,-15615.638611111111,0,1,1,0,0,0,0,1,0,Middle-aged,High,1,0,1
259.91,49.0,170.0,1.0,7176.86,16.0,6.0,-8727.59111111111,0,1,0,0,1,1,0,0,0,Middle-aged,High,1,0,4
154.71,34.0,157.0,1.0,1523.7200000000003,16.0,3.0,-11751.488333333333,0,1,0,0,1,1,0,0,0,Adult,High,0,0,3
899.28125,54.0,30.0,1.0,8654.28,17.0,29.0,-9638.745277777778,1,0,0,0,1,0,1,0,0,Middle-aged,Low,1,1,4
24.560000000000002,64.0,69.0,1.0,9869.93,17.0,20.0,-9134.741666666667,0,1,0,1,0,1,0,0,0,Middle-aged,Medium,1,2,4
568.07,48.0,115.0,1.0,10556.81,17.0,28.0,-10407.060833333333,0,1,1,0,0,1,0,0,0,Middle-aged,High,1,0,4
9.610000000000014,58.0,179.0,1.0,12883.91,18.0,22.0,-12013.528055555556,1,0,0,0,1,1,0,0,0,Middle-aged,Medium,1,2,4
392.96,24.0,100.0,1.0,791.6499999999996,16.0,20.0,-8391.674722222222,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
716.93,60.0,34.0,1.0,4064.02,16.0,14.0,-9999.310833333333,1,0,0,0,1,0,0,1,0,Middle-aged,High,1,0,1
223.85,53.0,55.0,1.0,2929.91,16.0,2.0,-9567.530833333334,0,1,1,0,0,0,1,0,0,Middle-aged,High,1,0,3
230.66,21.0,135.0,1.0,618.0500000000002,18.0,27.0,-14101.91111111111,0,1,0,1,0,0,0,0,1,Youth,High,3,0,2
442.12,19.0,260.0,1.0,1375.8000000000002,16.0,21.0,-7647.5216666666665,0,1,0,0,1,0,0,0,1,Youth,High,3,0,2
